"","X.1","X","�..Reef.ID","Reef.Name","Ocean","Country","State.Province.Island","City.Town","Year","Date","Depth","Organism.Code","S1","S2","S3","S4","Errors.","What.errors.","Average_bleaching","ClimSST","Temperature_Kelvin","Temperature_Mean","Temperature_Minimum","Temperature_Maximum","Temperature_Kelvin_Standard_Deviation","Windspeed","SSTA","SSTA_Standard_Deviation","SSTA_Mean","SSTA_Minimum","SSTA_Maximum","SSTA_Frequency","SSTA_Frequency_Standard_Deviation","SSTA_FrequencyMax","SSTA_FrequencyMean","SSTA_DHW","SSTA_DHW_Standard_Deviation","SSTA_DHWMax","SSTA_DHWMean","TSA","TSA_Standard_Deviation","TSA_Minimum","TSA_Maximum","TSA_Mean","TSA_Frequency","TSA_Frequency_Standard_Deviation","TSA_FrequencyMax","TSA_FrequencyMean","TSA_DHW","TSA_DHW_Standard_Deviation","TSA_DHWMax","TSA_DHWMean","Region","Diversity","rate_of_SST_change","Longitude.Degrees","Latitude.Degrees","optional","kd490_value","PAR_value"
"11",11,22,"61.0035W.13.7540N","Kay Ken (Laborie)","Atlantic","St Lucia","","Laborie",2003,"11-Mar-03",2,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,262.15,299.4525,300.5025,296.67,304.3175,1.1125,8,-0.0875,0.7725,0,-3.6925,2.955,0.75,5.23,26.25,3.5,0,2.535,17.5925,1.3275,-2.4475,1.1125,-5.2275,2.4075,-1.3925,0.25,1.5375,7.75,0.5,0,1.0775,9.7825,0.34,"ERG138",59,0.031136363,-61.0035,13.754,TRUE,0.0626000016927719,NA
"12",12,24,"61.0055W.13.7515N","Flat Land (Laborie)","Atlantic","St Lucia","","Laborie",2003,"25-Mar-03",2,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,262.15,299.88,300.5025,296.67,304.3175,1.1125,5,0.16,0.7725,0,-3.6925,2.955,0.75,5.23,26.25,3.5,0,2.535,17.5925,1.3275,-2.0225,1.1125,-5.2275,2.4075,-1.3925,0.25,1.5375,7.75,0.5,0,1.0775,9.7825,0.34,"ERG138",59,0.031136363,-61.0055,13.7515,TRUE,0.0626000016927719,NA
"13",13,27,"61.0755W.13.8100N","Coral Gardens","Atlantic","St Lucia","","Soufriere",2003,"27-Feb-03",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,262.15,299.5825,300.61,297.12,303.9725,1.0875,8,0.03,0.725,0,-3.3875,2.43,0,4.6925,24.25,2.75,0,2.405,17.4775,1.08,-2.435,1.0875,-4.8875,1.945,-1.395,0,1.3575,6.5,0,0,0.8875,8.225,0.2625,"ERG138",59,0.031136363,-61.0755,13.81,TRUE,0.0416169998546441,NA
"14",14,28,"61.0755W.13.8100N","Coral Gardens","Atlantic","St Lucia","","Soufriere",2003,"27-Feb-03",10,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,262.15,299.5825,300.61,297.12,303.9725,1.0875,8,0.03,0.725,0,-3.3875,2.43,0,4.6925,24.25,2.75,0,2.405,17.4775,1.08,-2.435,1.0875,-4.8875,1.945,-1.395,0,1.3575,6.5,0,0,0.8875,8.225,0.2625,"ERG138",59,0.031136363,-61.0755,13.81,TRUE,0.0416169998546441,NA
"15",15,30,"61.08011W.13.8600N","Turtle Reef","Atlantic","St Lucia","Soufriere","",2003,"13-Mar-03",10,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.09,299.59,300.65,297.51,303.98,1.07,6,-0.13,0.69,0,-3.29,2.33,0,4.17,21,2,0,2.2,15.45,0.94,-2.46,1.07,-4.53,1.92,-1.39,0,1.24,5,0,0,0.8,6.48,0.24,"ERG138",59,0.031136363,-61.08,13.86,TRUE,0.0504536678393682,NA
"16",16,33,"61.4.80W.13.51.84N","Anse Chastanet Reef","Atlantic","St Lucia","","Soufriere Marine Management Area",2003,"5-Mar-03",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.01,299.35,300.65,297.51,303.98,1.07,8,-0.29,0.69,0,-3.29,2.33,0,4.17,21,2,0,2.2,15.45,0.94,-2.7,1.07,-4.53,1.92,-1.39,0,1.24,5,0,0,0.8,6.48,0.24,"ERG138",59,0.031136363,-61.08,13.864,TRUE,0.0504536678393682,NA
"17",17,34,"61.4.80W.13.51.84N","Anse Chastanet Reef","Atlantic","St Lucia","","Soufriere Marine Management Area",2003,"5-Mar-03",10,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.01,299.35,300.65,297.51,303.98,1.07,8,-0.29,0.69,0,-3.29,2.33,0,4.17,21,2,0,2.2,15.45,0.94,-2.7,1.07,-4.53,1.92,-1.39,0,1.24,5,0,0,0.8,6.48,0.24,"ERG138",59,0.031136363,-61.08,13.864,TRUE,0.0504536678393682,NA
"18",18,36,"63.24.47E.19.40.06N","Passe Armand","Indian","Mauritius","Rodrigues","Pt. Monier",2003,"7-Jun-03",12,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,262.15,298.3125,298.37,294.2325,303.4825,1.785,4,0.2425,0.7675,0,-3.71,3.3375,6.5,5.2725,26,4,3.4325,2.825,16.335,1.535,-2.3075,1.785,-6.385,2.85,-2.24,0.75,2.0375,8.75,1,0,1.5125,12.8125,0.43,"ERG018",311,0.033686868,63.41305556,-19.66833333,TRUE,0.0667579993605614,NA
"19",19,38,"63.26.235E.19.39.662S","Patte Cappor","Indian","Mauritius","Rodrigues","Port Mathurin",2003,"8-Jun-03",6,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,297,298.27,298.36,294.27,303.48,1.78,4,0.19,0.77,0,-3.96,3.13,5,4.97,25,4,3.31,2.7,15.47,1.42,-2.32,1.78,-6.31,2.88,-2.22,2,1.92,8,1,0,1.51,12.84,0.41,"ERG018",311,0.033686868,63.43725,-19.66102778,TRUE,0.0667579993605614,NA
"20",20,40,"68.53.42W.12.05.16N","Curacao Sea Aquarium House Reef, Plot A #1","Atlantic","Netherlands Antilles","Curacao","Bapor Kibra",2003,"23-Jan-03",4,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,262.15,299.63,300.085,296.815,303.7175,1.1525,7,0.585,0.745,0,-2.6825,2.56,0.25,4.505,21,3.75,0,2.26,15.5325,1.2875,-1.945,1.1525,-4.7575,2.1325,-1.48,0,1.13,5.5,0,0,0.8,6.62,0.2375,"ERG137",52,0.024999999,-68.89708333,12.08322222,TRUE,0.0401624999940395,NA
"21",21,43,"81.10.59E.8.44.2N","Coral Island","Indian","Sri Lanka","Eastern","Nilaveli",2003,"25-Sep-03",2.5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.86,302.1,301.48,297.07,306.67,1.3,3,0.13,0.94,0,-4.93,3.88,7,5.02,26,7,4.21,2.79,14.49,2.37,-0.95,1.3,-5.98,3.61,-1.56,0,0.95,4,0,0,0.83,5.4,0.31,"ERG025",241,0.017348484,81.1765,8.736666667,TRUE,0.0912234501947775,NA
"22",22,44,"81.10.59E.8.44.2N","Coral Island","Indian","Sri Lanka","Eastern","Nilaveli",2003,"25-Sep-03",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.86,302.1,301.48,297.07,306.67,1.3,3,0.13,0.94,0,-4.93,3.88,7,5.02,26,7,4.21,2.79,14.49,2.37,-0.95,1.3,-5.98,3.61,-1.56,0,0.95,4,0,0,0.83,5.4,0.31,"ERG025",241,0.017348484,81.1765,8.736666667,TRUE,0.0912234501947775,NA
"23",23,46,"81.12.197E.8.43.238N","Pigeon Island","Indian","Sri Lanka","Eastern","Nilaveli",2003,"25-Sep-03",3.5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.97,302.01,301.55,297.07,306.67,1.27,3,-0.08,0.86,0,-5.06,3.8,5,4.47,22,6,2.45,2.45,12.61,2.01,-1.16,1.27,-6.09,3.5,-1.6,0,0.88,3,0,0,0.77,5.42,0.26,"ERG025",241,0.017348484,81.20327778,8.720638889,TRUE,0.0893012175864331,NA
"24",24,49,"81.14.373E.8.34.404N","Dutch Bay","Indian","Sri Lanka","Eastern","Trincomalee",2003,"28-Sep-03",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,262.15,301.548,301.314,297.054,306.146,1.284,3,-0.152,0.962,0,-4.416,3.928,5.4,4.584,24.6,6,3.326,3.17,18.39,2.384,-1.286,1.284,-5.772,3.304,-1.51,0.6,1.642,7.6,0.6,0,1.328,11.034,0.444,NA,NA,0.017348484,81.23955556,8.573388889,TRUE,0.096394930498047,NA
"25",25,50,"81.14.373E.8.34.404N","Dutch Bay","Indian","Sri Lanka","Eastern","Trincomalee",2003,"28-Sep-03",3.5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,262.15,301.548,301.314,297.054,306.146,1.284,3,-0.152,0.962,0,-4.416,3.928,5.4,4.584,24.6,6,3.326,3.17,18.39,2.384,-1.286,1.284,-5.772,3.304,-1.51,0.6,1.642,7.6,0.6,0,1.328,11.034,0.444,NA,NA,0.017348484,81.23955556,8.573388889,TRUE,0.096394930498047,NA
"26",26,52,"85.55.286W.16.28.725N","Wonderful Reef","Atlantic","Honduras","Bay Islands","Guanaja",2003,"23-Apr-03",10,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.99,300.54,300.96,297.82,304.81,1.19,6,-0.16,0.77,0,-3.04,2.75,3,4.97,27,4,0,2.54,20.76,1.54,-1.82,1.19,-4.53,2.45,-1.39,1,1.81,9,1,0,1.39,13.51,0.4,"ERG136",60,0.023686868,-85.92144444,16.47875,TRUE,0.0377665996551514,NA
"27",27,53,"96.53.502E.12.06.225S","Prison Gardens","Indian","Australia","Cocos (Keeling) Islands","",2003,"20-May-03",10,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,300.39,301.17,300.34,296.61,306.07,1.12,6,0.28,0.81,0,-2.94,4.66,3,4.97,22,4,0,2.82,23.38,1.62,-0.29,1.12,-4.84,4.61,-1.11,0,2.37,12,1,0,1.75,21.67,0.5,"ERG106",112,-0.020833333,96.89169444,-12.10375,TRUE,0.0315868019083276,NA
"28",28,54,"96.50.36E.12.05.41S","Cabbage Patch (10m)","Indian","Australia","Cocos (Keeling) Islands","",1998,"23-Aug-98",10,"Bleaching (% of population)",25,0,10,0,FALSE,"",8.75,299.27,300.63,300.34,297.14,305.77,1.11,8,1.24,0.8,0,-2.94,4.39,2,4.41,22,4,0,2.79,25.05,1.52,-0.81,1.11,-4.29,4.32,-1.09,2,1.96,9,1,0,1.61,19.38,0.43,"ERG106",112,-0.020833333,96.84333333,-12.09472222,TRUE,NA,NA
"29",29,56,"059.38W.13.11N","Folkestone Marine Park","Atlantic","Barbados","St James","Holetown",2005,"16-Jan-05",4,"Bleaching (% of population)",2,5,0,0,TRUE,"no seconds for coordinates",1.75,299.48,300.82,300.48,297.38,304.44,1.06,7,1.09,0.76,0,-2.81,2.62,1,5.51,26,3,0,2.68,16.47,1.19,-1.01,1.06,-4.44,2.6,-1.34,0,1.2,6,0,0,0.8,7.05,0.19,"ERG138",59,0.028762626,-59.641,13.19119444,TRUE,0.0342999994754791,NA
"30",30,58,"100.20.32.4E.0.59.32.6S","Pisang Gadang Island","Pacific","Indonesia","Sumatra Barat","Padang",2005,"25-Dec-05",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,262.15,302.895,302.935,297.86,306.3675,1.0075,1,0.1075,0.935,0,-4.545,3.78,10.75,5.75,26.5,5.25,7.11,3.855,26.9375,1.8725,-0.6275,1.0075,-5.66,2.835,-0.58,1.5,2.59,14,1,0,1.7425,17.5125,0.4825,"ERG031",340,0.008914141,100.3423333,-0.992388889,TRUE,0.149652803269649,NA
"31",31,60,"100.21.24.8E.0.7.56.3S","Sironjong Island","Pacific","Indonesia","Sumatra Barat","Padang",2005,"25-Dec-05",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,262.15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008914141,100.3568889,-0.132305556,TRUE,0.125798650471784,NA
"32",32,62,"100.59.10.76E.12.57.45.55N","Leum Island (Ko Luam)","Indian","Thailand","Cholburi","Pattaya",2003,"1-Nov-03",3.9,"Bleaching (% of population)",0,1,1,0,FALSE,"",0.5,301.36,302.94,302.26,297.31,306.77,1.43,1,0.64,0.98,0,-3.27,3.56,7,5.95,29,6,0,4.13,27.26,2.57,-0.84,1.43,-6.46,2.99,-1.51,1,2.09,13,1,0,1.76,16.39,0.55,"ERG050",417,0.01570707,100.653,12.96266667,TRUE,0.0908399969339371,NA
"33",33,64,"102.17.0E.11.56.43N","Hin Luk Bat","Pacific","Thailand","Trat","Koh Chang",2006,"13-Nov-06",12,"Bleaching (% of population)",1,0,0,0,FALSE,"",0.25,301.75,303.5,302.22,299.11,306.15,1.12,2,1.14,0.88,0,-2.44,3.05,3,5.49,26,6,3.34,3.73,27.08,2.29,-0.08,1.12,-4.46,2.56,-1.35,0,1.46,6,0,0,1.12,7.8,0.32,"ERG050",417,0.018358585,102.2833333,11.94527778,TRUE,0.056020882648866,NA
"34",34,66,"102.17.15E.11.56.42N","Hin Luk Bat","Pacific","Thailand","Koh Chang, Trat","Hin Luk Bat",2006,"18-Mar-06",10,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,303.44,303.46,302.22,299.11,306.15,1.12,2,0.96,0.88,0,-2.44,3.05,13,5.49,26,6,1.73,3.73,27.08,2.29,-0.12,1.12,-4.46,2.56,-1.35,4,1.46,6,0,0,1.12,7.8,0.32,"ERG050",417,0.018358585,102.2875,11.945,TRUE,0.0487643793262877,NA
"35",35,68,"102.22.711E.11.48.310N","Koh Tien/Koh Thain West","Pacific","Thailand","Trat","Koh Chang",2007,"15-Jun-07",5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.93,304.06,302.27,297.95,306.11,1.13,2,1.26,0.93,0,-3.86,3.23,8,6.15,28,7,1,3.71,23.53,2.42,0.53,1.13,-5.56,2.58,-1.24,0,1.92,7,1,0,1.53,12.32,0.51,"ERG050",417,0.018358585,102.3785278,11.80516667,TRUE,0.0351351816423088,NA
"36",36,70,"102.22.711E.11.48.310N","Koh Tien/Koh Thain West","Pacific","Thailand","Trat","Koh Chang",2008,"10-Jan-08",4.5,"Bleaching (% of population)",1,0,1,0,FALSE,"",0.5,301.59,301.71,302.27,297.95,306.11,1.13,4,0.41,0.93,0,-3.86,3.23,8,6.15,28,7,0,3.71,23.53,2.42,-1.81,1.13,-5.56,2.58,-1.24,0,1.92,7,1,0,1.53,12.32,0.51,"ERG050",417,0.018358585,102.3785278,11.80516667,TRUE,0.0435439981520176,NA
"37",37,72,"102.23.0E.11.47.25N","Koh Mapring","Pacific","Thailand","Trat","Koh Chang",2006,"28-Nov-06",4,"Bleaching (% of population)",1,1,1,0,FALSE,"",0.75,301.47,304.4,302.27,297.95,306.11,1.13,1,2.21,0.93,0,-3.86,3.23,9,6.15,28,7,3.96,3.71,23.53,2.42,0.88,1.13,-5.56,2.58,-1.24,3,1.92,7,1,0,1.53,12.32,0.51,"ERG050",417,0.018358585,102.3833333,11.79027778,TRUE,0.051936998963356,NA
"38",38,74,"102.23.20E.11.47.50N","Koh Kra","Pacific","Thailand","Trat","Koh Chang",2006,"14-Nov-06",3.6,"Bleaching (% of population)",1,0,0,0,FALSE,"",0.25,301.77,303.81,302.27,297.95,306.11,1.13,2,1.4,0.93,0,-3.86,3.23,8,6.15,28,7,2.56,3.71,23.53,2.42,0.29,1.13,-5.56,2.58,-1.24,3,1.92,7,1,0,1.53,12.32,0.51,"ERG050",417,0.018358585,102.3888889,11.79722222,TRUE,0.051936998963356,NA
"39",39,76,"102.23.36E.11.47.2N","Koh Yak Lek","Pacific","Thailand","Trat","Koh Chang",2006,"10-Nov-06",7,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.77,303.93,302.26,298.7,305.94,1.11,3,1.57,0.92,0,-3.11,3.05,12,5.83,25,6,3.22,3.72,22.31,2.33,0.46,1.11,-4.76,2.47,-1.2,6,1.9,8,1,0,1.46,9.35,0.49,"ERG050",417,0.018358585,102.3933333,11.78388889,TRUE,0.051936998963356,NA
"40",40,78,"102.23.784E.11.47.244N","Koh Yak","Pacific","Thailand","Trat","Koh Chang",2007,"15-Jun-07",4,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,302,304.14,302.26,298.7,305.94,1.11,2,1.31,0.92,0,-3.11,3.05,9,5.83,25,6,2.18,3.72,22.31,2.33,0.67,1.11,-4.76,2.47,-1.2,0,1.9,8,1,0,1.46,9.35,0.49,"ERG050",417,0.018358585,102.3963889,11.78738889,TRUE,0.0351649096875692,NA
"41",41,80,"102.24.173E.11.49.108N","Koh Thong Lang","Pacific","Thailand","Trat","Koh Chang",2007,"14-Jun-07",3.5,"Bleaching (% of population)",5,5,5,5,FALSE,"",5,301.93,304.06,302.27,297.95,306.11,1.13,2,1.26,0.93,0,-3.86,3.23,8,6.15,28,7,1,3.71,23.53,2.42,0.53,1.13,-5.56,2.58,-1.24,0,1.92,7,1,0,1.53,12.32,0.51,"ERG050",417,0.018358585,102.4028889,11.81847222,TRUE,0.0358744093871868,NA
"42",42,82,"102.24.4E.11.49.13N","Koh Yak Yai","Pacific","Thailand","Trat","Koh Chang",2006,"11-Dec-06",3.5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.29,303.51,302.27,297.95,306.11,1.13,3,1.62,0.93,0,-3.86,3.23,11,6.15,28,7,7.29,3.71,23.53,2.42,-0.01,1.13,-5.56,2.58,-1.24,3,1.92,7,1,0,1.53,12.32,0.51,"ERG050",417,0.018358585,102.4011111,11.82027778,TRUE,0.0708559975028038,NA
"43",43,84,"102.24.9E.11.49.13N","Koh Thong Lang","Pacific","Thailand","Trat","Koh Chang",2006,"10-Nov-06",4,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.77,303.81,302.27,297.95,306.11,1.13,2,1.4,0.93,0,-3.86,3.23,8,6.15,28,7,2.56,3.71,23.53,2.42,0.29,1.13,-5.56,2.58,-1.24,3,1.92,7,1,0,1.53,12.32,0.51,"ERG050",417,0.018358585,102.4025,11.82027778,TRUE,0.0573600009083748,NA
"44",44,86,"102.26.50E.11.49.23N","Koh Lom","Pacific","Thailand","Trat","Koh Chang",2006,"27-Nov-06",4.3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.5,304.58,302.35,298.64,306.48,1.21,1,2.39,1.02,0,-3.48,3.1,7,6.28,28,8,6.35,4.1,26.89,2.88,0.97,1.21,-4.96,2.86,-1.25,1,2.11,11,1,1.06,1.78,19.1,0.58,"ERG050",417,0.018358585,102.4472222,11.82305556,TRUE,0.0658819973468781,NA
"45",45,88,"102.27.18.6E.11.53.3N","Ko Bai Dang","Pacific","Thailand","Koh Chang, Trat","Ko Bai Dang",2006,"19-Mar-06",3,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,303.59,302.73,302.36,298.3,306.5,1.21,2,-0.03,1.01,0,-3.41,2.92,14,6.45,29,7,1.06,4.16,26.99,2.74,-0.93,1.21,-5.35,2.83,-1.29,7,2.29,9,1,0,1.88,16.8,0.59,"ERG050",417,0.018358585,102.4551667,11.88416667,TRUE,0.0479251757613892,NA
"46",46,90,"102.28.17E.11.54.4N","Hin Bai Dang","Pacific","Thailand","Trat","Koh Chang",2006,"12-Nov-06",7,"Bleaching (% of population)",1,1,1,1,FALSE,"",1,301.65,303.66,302.36,298.3,306.5,1.21,2,1.37,1.01,0,-3.41,2.92,5,6.45,29,7,4.38,4.16,26.99,2.74,0,1.21,-5.35,2.83,-1.29,0,2.29,9,1,0,1.88,16.8,0.59,"ERG050",417,0.018358585,102.4713889,11.90111111,TRUE,0.0559074068295499,NA
"47",47,92,"102.32.40E.11.45.18N","Koh Kood","Pacific","Thailand","Trat","Koh Chang",2006,"8-Dec-06",5.5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.45,304.1,302.42,297.92,306.76,1.22,3,2.26,1.03,0,-3.86,3.18,7,6.97,34,8,10.16,4.36,23.51,2.94,0.42,1.22,-5.75,3.07,-1.25,0,2.29,9,1,0,1.74,13.76,0.59,"ERG050",417,0.018358585,102.5444444,11.755,TRUE,0.0529850013554096,NA
"48",48,95,"102.40.2.9E.5.56.28.4N","Pulau Susu Dara Besar","Pacific","Malaysia","Terengganu","Perhentian Islands",2003,"20-May-03",6,"Bleaching (% of population)",0,0,2,2,FALSE,"",1,303.57,301.48,302.43,297.66,306.3,1.35,1,-2.23,0.93,0,-4.06,3.28,4,6.26,36,6,1.31,3.46,20.49,2.3,-2.24,1.35,-6.05,2.57,-1.28,0,2.14,10,1,0,1.47,12.86,0.5,"ERG049",503,0.015757575,102.6674722,5.941222222,TRUE,0.0771500021219254,NA
"49",49,96,"102.40.2.9E.5.56.28.4N","Pulau Susu Dara Besar","Pacific","Malaysia","Terengganu","Perhentian Islands",2003,"20-May-03",7.6,"Bleaching (% of population)",1,0,1,1,FALSE,"",0.75,303.57,301.48,302.43,297.66,306.3,1.35,1,-2.23,0.93,0,-4.06,3.28,4,6.26,36,6,1.31,3.46,20.49,2.3,-2.24,1.35,-6.05,2.57,-1.28,0,2.14,10,1,0,1.47,12.86,0.5,"ERG049",503,0.015757575,102.6674722,5.941222222,TRUE,0.0771500021219254,NA
