,ERG,Ecoregion,Proportion_within_ideal_range,Area_within_ideal_range,Area
103,ERG103,"Joseph Bonaparte Gulf, north-west Australia",0,0,25.88129613
104,ERG104,"Gulf of Carpentaria, northern Australia",0.162729933,9.658668062,59.35397304
105,ERG105,"Christmas Island, Indian Ocean",0,0,5.066107059
106,ERG106,"Cocos Keeling Atolls, Indian Ocean",0,0,115.8603486
107,ERG107,New Caledonia,0.020664758,64.71146383,3131.48909
108,ERG108,Vanuatu,0.009590941,11.0600881,1153.180752
109,ERG109,"Kermadec Islands, south Pacific",0,0,0
110,ERG110,"Phoenix Islands, central Kiribati",0,0,79.61884535
111,ERG111,Fiji,0.049915872,147.1668648,2948.297976
112,ERG112,"Samoa, Tuvalu and Tonga",0.001125435,2.966451285,2635.826806
113,ERG113,"Cook Islands, south-west Pacific",0.0062,1.237817802,199.6480325
114,ERG114,"Austral Islands, French Polynesia",0,0,198.129368
115,ERG115,"Society Islands, French Polynesia",0.008472758,3.526984747,416.2734909
116,ERG116,"Western Tuamotu Archipelago, central Pacific",0.0025005,5.998664384,2398.985861
117,ERG117,Pitcairn and south-east Tuamoto Archipelago,0,0,39.57969729
118,ERG118,"Line Islands, south-east Kiribati",0.1138,10.03837351,88.2106635
119,ERG119,"Marquesas Islands, French Polynesia",0,0,0
120,ERG120,"Line Islands, north-east Kiribati",0,0,224.9271878
121,ERG121,"Johnston Atoll, north central Pacific",0,0,75.98368771
122,ERG122,North-west Hawaii,0,0,2578.428593
123,ERG123,Eastern Hawaii,0.010986496,8.655801186,787.8582371
124,ERG124,"Easter Island, south central Pacific",0,0,0
125,ERG125,Gulf of California,0,0,6.625232658
126,ERG126,Western Mexico and Revillagigedo Islands,0,0,0
127,ERG127,"Clipperton Atoll, eastern Pacific",0,0,4.330337655
128,ERG128,"Guatemala, El Salvador and Nicaragua, Pacific coast",0.358599957,5.82785671,16.25169383
129,ERG129,"Costa Rica and Panama, Pacific coast",0.363404119,105.4535612,290.1826247
130,ERG130,"Colombia, Ecuador and Chile, Pacific coast",0.139185449,19.26545391,138.4157186
131,ERG131,"Isla de Malpelo, Colombia",0,0,0.006406813
132,ERG132,"Cocos Island, Costa Rica",0,0,4.031852469
133,ERG133,Galapagos Islands,0.39748503,50.18823314,126.2644612
134,ERG134,"Flower Garden Banks, Gulf of Mexico",0.015,0.050724496,3.381633065
135,ERG135,"Bay of Campeche, Yucatan, Gulf of Mexico",0.0584,21.96126868,376.0491213
136,ERG136,Belize and west Caribbean,0.098267096,359.7208753,3660.644219
137,ERG137,Netherlands Antilles and south Caribbean,0.16672326,138.3830111,830.0162273
138,ERG138,"Hispaniola, Puerto Rico and Lesser Antilles",0.019288807,33.40378082,1731.770161
139,ERG139,Jamaica,0.010512309,4.619388591,439.4266489
140,ERG140,Cuba and Cayman Islands,0.184980334,565.1003746,3054.921361
141,ERG141,Bahamas and Florida Keys,0.110289247,348.0744604,3156.014477
142,ERG142,North Florida to North Carolina,0,0,0
143,ERG143,Bermuda,0,0,530.4399595
144,ERG144,Brazil,0.122864117,73.90788207,601.5416362
145,ERG145,Central Atlantic,0,0,0
146,ERG146,Gulf of Guinea to Sierra Leone,0,0,0
147,ERG147,Cape Verde Islands,0,0,0
148,ERG148,Canary Islands,0,0,0.108212484
149,ERG149,Madeira and Azores Islands,0,0,411.2934491
150,ERG150,Mediterranean,0,0,0
